field,title,author,abstract
Developmental Biology,Three-dimensional quantitative micro-elastography reveals alterations in spatial elasticity patterns of follicles and corpora lutea in murine ovaries during ageing,"Anna,Matt S.,Alireza,Brendan F.,Chii Jou,Anna,Matt S.,Alireza,Brendan F.,Chii Jou,Anna,Matt S.,Alireza,Brendan F.",
Biophysics,Minimal vertex model explains how the amnioserosa avoids fluidization during Drosophila dorsal closure,"Indrajit,Daniel,Janice M.,Daniel P.,Christoph F.,Andrea J.,Indrajit,Daniel,Janice M.,Daniel P.,Christoph F.,Andrea J.,Indrajit,Daniel,Janice M.,Daniel P.,Christoph F.",
Immunology,Pan-Prediction of MHC-II Restricted Epitopes Across Species via an Alphafold-based Quantification Scheme,"Suqiu,Lingming,Dongmei,Liangzhen,Caiyi,Liubao,Ziche,Sheng,Shi,Hanchun,Nianzhi,Suqiu,Lingming,Dongmei,Liangzhen,Caiyi,Liubao,Ziche,Sheng,Shi,Hanchun,Nianzhi,Suqiu,Lingming,Dongmei,Liangzhen,Caiyi,Liubao,Ziche,Sheng,Shi,Hanchun",
Immunology,Loop Grafting Improves Neuraminidase Protein Vaccine Production,"Pramila,Leiyan,Guido C,David I,Mark R,Kuan-Ying A,Thomas A,Alain RM,Pramila,Leiyan,Guido C,David I,Mark R,Kuan-Ying A,Thomas A,Alain RM,Pramila,Leiyan,Guido C,David I,Mark R,Kuan-Ying A,Thomas A",
Immunology,Single-Cell Antigen Receptor Sequencing in Pigs with Influenza,"Weihong,Darling Melany de Carvahlo,Sadie,Laurie,Nathan,Grant,Mingyi,Kiho,John P,Weihong,Darling Melany de Carvahlo,Sadie,Laurie,Nathan,Grant,Mingyi,Kiho,John P,Weihong,Darling Melany de Carvahlo,Sadie,Laurie,Nathan,Grant,Mingyi,Kiho",
Immunology,Head-to-head comparison of nuclear imaging approaches to quantify tumor CD8,"Gerwin G.W.,Rene,Ines F.,Milou,Lenneke,Gerben M.,Janneke,Peter J.,Iris M.,Erik F.J.,Johan,Gosse,Martijn,Erik H.J.G.,Sandra,Gerwin G.W.,Rene,Ines F.,Milou,Lenneke,Gerben M.,Janneke,Peter J.,Iris M.,Erik F.J.,Johan,Gosse,Martijn,Erik H.J.G.,Sandra,Gerwin G.W.,Rene,Ines F.,Milou,Lenneke,Gerben M.,Janneke,Peter J.,Iris M.,Erik F.J.,Johan,Gosse,Martijn,Erik H.J.G.","Many immunotherapies focus on (re)invigorating CD8, T cell anti-cancer responses and different nuclear imaging techniques have been developed to measure CD8, T cell distributions. In vivo labeling approaches using radiotracers primarily show CD8, T cell distributions, while ex vivo labeled CD8, T cells can show CD8, T cell migration patterns, homing, and tumor infiltration. Currently, a comprehensive head-to-head comparison of in vivo and ex- vivo cell labeling with respect to their tumor and normal tissue targeting properties and correlation to the presence of CD8, T cells is lacking, yet essential for correct interpretation of clinical CD8, imaging applications. Therefore, we performed a head-to-head comparison of three different CD8, T cell imaging approaches: 1) ,Zr-labeled DFO-conjugated Fc-silent anti-CD8 antibody ([,Zr]Zr-anti-CD8-IgG2a,), 2) ex vivo ,Zr-oxine labeled ovalbumin-specific CD8, T cells ([,Zr]Zr-OT-I cells), and 3) ,F-labeled IL2 ([,F]AlF-RESCA-IL2).
Methods
B16F10/OVA tumor-bearing C57BL/6 mice (n=10/group) received intravenously one of the three radiopharmaceuticals. PET/CT images were acquired starting 72 h ([,Zr]Zr-anti-CD8-IgG2a,), 24 and 48 h ([,Zr]Zr-OT-I cells), and 10 min ([,F]AlF-RESCA-IL2) post injection. Subsequently, ex vivo biodistribution analysis of the radiopharmaceuticals was performed followed by flow cytometric analysis to evaluate the number of intratumoral CD8, T cells. Additionally, the intratumoral radiolabel distributions was assessed by autoradiography and immunohistochemistry (IHC) on tumor slices.
Results
[,Zr]Zr-anti-CD8-IgG2a,, [,Zr]Zr-OT-I cells, and [,F]AlF-RESCA-IL2 showed uptake in CD8-rich tissues, with preferential targeting to the spleen. Biodistribution analysis showed tumor uptake above blood level for all radiopharmaceuticals, except [,F]AlF-RESCA-IL2. For all three approaches, the uptake in the tumor-draining lymph node was significantly higher compared with the contralateral axial lymph node, suggesting that all approaches allow evaluation of immune responses involving CD8, T cells. Tumor uptake of [,Zr]Zr-anti-CD8-IgG2a, (R,=0.65, p<0.01) and [,Zr]Zr-OT-I cells (R,=0.74, p<0.01) correlated to the number of intratumoral CD8, T cells (flow cytometry). The intratumoral distribution pattern of the radiosignal was different for ex vivo and in vivo radiolabeling techniques. The short half-life of ,F precluded autoradiography assessment of [,F]AlF-RESCA-IL2.
Conclusion
We show that [,Zr]Zr-anti-CD8-IgG2a, and [,Zr]Zr-OT-I cells PET/CT imaging can be used to evaluate intratumoral CD8, T cells, even though their normal tissues and intratumoral distribution patterns are significantly different. Based on their characteristics, [,Zr]Zr-anti-CD8-IgG2a, might be most useful to immunophenotyping the TME, while the ex vivo cell labeling approach visualizes CD8, T cell migrations patterns and the permissiveness of tumors for invasion, whereas [,F]AlF-RESCA-IL2 allows for rapid recurrent imaging and might prove useful for tracking rapid changes in CD8, T cell distributions. In conclusion, our head-to-head comparison of the three prototype CD8"
Immunology,nsGSLs on tumors impair anti-tumor immune responses by OT-I T cells ,"Tamara,Aimée A.F.,Nordin D.,Tao,Manfred,Robbert M.,S. Marieke,Tamara,Aimée A.F.,Nordin D.,Tao,Manfred,Robbert M.,S. Marieke,Tamara,Aimée A.F.,Nordin D.,Tao,Manfred,Robbert M.","Tumors often evolve to engage numerous strategies to circumvent detection by the immune system. Our group recently discovered elevated neolacto-series glycosphingolipids (nsGSL) surface levels as a possible immune evasion mechanism of tumors. We demonstrated a direct disruption of both innate and adaptive anti-tumor immunity , when expression of nsGSLs was upregulated on established target cells. It remains unclear however, whether "
Developmental Biology,Single-nucleus transcriptomics of wing sexual dimorphism and scale cell specialization in sulphur butterflies,"Ling S.,Joseph J.,Alexander,Martik,Martina,Donya N.,Luca,Christopher R.,Robert D.,W. Owen,Gregory A.,Arnaud,Ling S.,Joseph J.,Alexander,Martik,Martina,Donya N.,Luca,Christopher R.,Robert D.,W. Owen,Gregory A.,Arnaud,Ling S.,Joseph J.,Alexander,Martik,Martina,Donya N.,Luca,Christopher R.,Robert D.,W. Owen,Gregory A.","The evolution of sexual secondary characteristics necessitates regulatory factors that confer sexual identity to differentiating tissues and cells. In , butterflies, males exhibit two specialized wing scale types — UV-iridescent (UVI) and lanceolate scales — absent in females and likely integral to male courtship behavior. This study investigates the regulatory mechanisms and single-nucleus transcriptomics underlying these two sexually dimorphic cell types during wing development. We show that Doublesex (Dsx) expression is itself dimorphic and required to repress the UVI cell state in females, while unexpectedly, UVI activation in males is independent from Dsx. In the melanic marginal band, Dsx is required in each sex to enforce the presence of lanceolate scales in males, and their absence in females. Single-nucleus RNAseq reveals that UV-iridescent and lanceolate scale cell precursors each show distinctive gene expression profiles at 40% of pupal development, with marker genes that include regulators of transcription, cell signaling, cytoskeletal patterning, and chitin secretion. Both male-specific cell types share a low expression of the , ("
Immunology,Suppression of epithelial proliferation and tumourigenesis by immunoglobulin A,"Gregory P.,Gabriella L.,Marwa,Christopher,Izabela,Guo,Nicole L.,Dayu,Begüm,Caroline E.,Tiago B.R.,Sergei,Bernardo S.,Beth M.,Gabriel D.,Daniel,Gregory P.,Gabriella L.,Marwa,Christopher,Izabela,Guo,Nicole L.,Dayu,Begüm,Caroline E.,Tiago B.R.,Sergei,Bernardo S.,Beth M.,Gabriel D.,Daniel,Gregory P.,Gabriella L.,Marwa,Christopher,Izabela,Guo,Nicole L.,Dayu,Begüm,Caroline E.,Tiago B.R.,Sergei,Bernardo S.,Beth M.,Gabriel D.","Immunoglobulin A (IgA) is the most abundant antibody isotype produced across mammals and plays a specialized role in mucosal homeostasis,. Constantly secreted into the lumen of the intestine, IgA binds commensal microbiota to regulate their colonization and function, with unclear implications for health. IgA deficiency is common in humans but is difficult to study due to its complex aetiology and comorbidities"
Developmental Biology,A Combined Computational Fluid Dynamics Modeling and Geometric Morphometrics Methods Approach to Quantifying Hemodynamic and Anatomical Features of Embryonic Chick Heart Anatomies Reconstructed from Light Sheet Fluorescence Microscopy Imaging,"Kirsten,Simone,Sophie,Shourya,Michael,Boyce,Kirsten,Simone,Sophie,Shourya,Michael,Boyce,Kirsten,Simone,Sophie,Shourya,Michael",
Developmental Biology,A piRNA regulating oogenesis and embryo development in cockroaches,"Judit,Nuria,Jorge,David,Josep,Maria-Dolors,Judit,Nuria,Jorge,David,Josep,Maria-Dolors,Judit,Nuria,Jorge,David,Josep",
Immunology,Immunological Profiling in Knee Osteoarthritis: Treg Dysfunction as Key Driver of Pain,"Marie,Johanna,Maria,Paul,Fabien,Alexandra,Michèle,Signe,Roberta,Claire,Vanessa,Hélène,Leslie,Pierre,Nicolas,Kenz,Caroline,Alice,Lise,Atul J.,Adrien,Michelle,Nicolas,Francis,David,Encarnita,Jérémie,Marie,Johanna,Maria,Paul,Fabien,Alexandra,Michèle,Signe,Roberta,Claire,Vanessa,Hélène,Leslie,Pierre,Nicolas,Kenz,Caroline,Alice,Lise,Atul J.,Adrien,Michelle,Nicolas,Francis,David,Encarnita,Jérémie,Marie,Johanna,Maria,Paul,Fabien,Alexandra,Michèle,Signe,Roberta,Claire,Vanessa,Hélène,Leslie,Pierre,Nicolas,Kenz,Caroline,Alice,Lise,Atul J.,Adrien,Michelle,Nicolas,Francis,David,Encarnita",
Immunology,PEPITEM Tripeptides and Peptidomimetics: Next-Generation Modulators of Inflammation in Immune-Mediated Conditions,"Anella,Bonita,Samantha,Laleh,Areeba,Mustafa,Antonio,Myriam,Anna,Noemi,Helen M,Asif J,Francesco,G Ed,Anella,Bonita,Samantha,Laleh,Areeba,Mustafa,Antonio,Myriam,Anna,Noemi,Helen M,Asif J,Francesco,G Ed,Anella,Bonita,Samantha,Laleh,Areeba,Mustafa,Antonio,Myriam,Anna,Noemi,Helen M,Asif J,Francesco",
Immunology,Cardiolipin Inhibits the Noncanonical Inflammasome by Preventing LPS Binding to Caspase 4/11 to Mitigate Endotoxemia in Vivo,"Malvina,Mercedes,Sabrina Sofia,Jakub,Melan,Jing Rong,Emmanuelle,Joanna,Monalisa,Kirsten M.,Jared R.,Masahiro,Si Ming,Petr,Pablo,Kate,Malvina,Mercedes,Sabrina Sofia,Jakub,Melan,Jing Rong,Emmanuelle,Joanna,Monalisa,Kirsten M.,Jared R.,Masahiro,Si Ming,Petr,Pablo,Kate,Malvina,Mercedes,Sabrina Sofia,Jakub,Melan,Jing Rong,Emmanuelle,Joanna,Monalisa,Kirsten M.,Jared R.,Masahiro,Si Ming,Petr,Pablo",
Ecology,Massive presence of the invasive ,"Marco,Cristina,Marco,Cristina,Marco",
Zoology,Optimization of rearing ,"Hung,Binh,Bishwo,Maciej,Hung,Binh,Bishwo,Maciej,Hung,Binh,Bishwo","The global application of , (Acari: Phytoseiidae) as a biological control agent across various protected crops has proven effective against a range of insect pests like thrips and whiteflies, as well as pest mites like broad mites and russet mites. Optimization of rearing , under laboratory conditions is crucial for further studies of this species to improve their application in Integrated Pest Management (IPM) programs. Here, we evaluated the development and reproduction of , when fed on four different diets, including cattail pollen (,), living dried fruit mites (,), frozen , eggs, and a mixed diet of frozen , eggs and , pollen. Females consuming the mixed diet exhibited superior total fecundity and daily oviposition rate, along with the highest intrinsic rate of increase (r,) and net productive rate (R,) among all diets tested. The immature period was significantly longer for mites on a diet of living , compared to those on other diets. Importantly, utilizing frozen , eggs and "
Immunology,Efficient multiplex non-viral engineering and expansion of polyclonal γδ CAR-T cells for immunotherapy,"Jacob,Matthew J,Jihyun,Sophia,Joshua,Bryce,Mitchell,Andrew T,Jason,Joseph G,Branden S,Beau R,Jacob,Matthew J,Jihyun,Sophia,Joshua,Bryce,Mitchell,Andrew T,Jason,Joseph G,Branden S,Beau R,Jacob,Matthew J,Jihyun,Sophia,Joshua,Bryce,Mitchell,Andrew T,Jason,Joseph G,Branden S",
Ecology,Origin of plant trait data matters: Shared species of Northwestern Europe and the Pannonian Ecoregion have different trait values in the two regions,"Judit,Péter,Judit,Péter,Judit",
Ecology,Annual Variability in Diffuse Ratio and Spectral Characteristics of Solar Radiation: Cloud Effects in a Temperate Monsoon Region,"Amila Nuwan,Atsushi,Amila Nuwan,Atsushi,Amila Nuwan",
Ecology,Incorporating climatic extremes using the GEV distribution improves SDM range edge performance,"Ward,Josep Serra,Bart,Koenraad,Ward,Josep Serra,Bart,Koenraad,Ward,Josep Serra,Bart",
Ecology,The future abundance of key bird species for pathogen transmission in the Netherlands,"Martha,Henk,Peter M,Maarten JJ,Gertjan,Martha,Henk,Peter M,Maarten JJ,Gertjan,Martha,Henk,Peter M,Maarten JJ",
Ecology,General mechanisms for a top-down origin of the predator-prey power law,"Onofrio,Matthieu,Matteo,Onofrio,Matthieu,Matteo,Onofrio,Matthieu","The ratio of predator-to-prey biomass density is not constant along ecological gradients: denser ecosystems tend to have fewer predators per prey, following a scaling relation known as the ""predator-prey power law"". The origin of this surprisingly general pattern, particularly its connection with environmental factors and predator-prey dynamics, is unknown. Here, we explore some ways that a sublinear predator-prey scaling could emerge from density-dependent interactions among predators and between predators and prey (which we call a top-down origin), rather than among prey (bottom-up origin) as proposed in Hatton "
Ecology,Competition for food affects the strength of reproductive interference and its consequences for species coexistence.,"Miguel A.,Oscar,Inês,Vitor C.,Sara,Flore,Miguel A.,Oscar,Inês,Vitor C.,Sara,Flore,Miguel A.,Oscar,Inês,Vitor C.,Sara",
Ecology,Increase of tropical seabirds (Sula) in the California Current Ecosystem with warmer ocean conditions,"Tamara M,David M,James R,Maria,Jaima,Lisa T,Tamara M,David M,James R,Maria,Jaima,Lisa T,Tamara M,David M,James R,Maria,Jaima",
Ecology,Amazonian biocultural heritage under climate change,"Rodrigo,Patrick R.,Jordi,Rodrigo,Patrick R.,Jordi,Rodrigo,Patrick R.",
Epidemiology,Pursuing the limits of child survival in the most and least developed countries,"Iván,Wenyun,Laust H.,Shripad,Iván,Wenyun,Laust H.,Shripad,Iván,Wenyun,Laust H.","The epidemiological transition from young to old deaths in high-income countries reduced mortality at all ages, but a major role was played by a decline of infant and child mortality from infectious diseases, that greatly increased life expectancy at birth,. Over time, declines in infectious disease continue but chronic and degenerative causes persist,, so we might expect under-5 deaths to be concentrated in the first month of life. However, little is known about the age-pattern of this transition in early mortality or its potential limits. Here we first describe the limit using detailed data on Denmark, Japan, France, and the USA— developed countries with low under-5 mortality. The limiting pattern of under-5 deaths concentrates in the first month, but is surprisingly dispersed over later ages: we call this the early rectangularization of mortality. Then we examine the progress towards this limit of 31 developing countries from sub-Saharan Africa (SSA)—the region with the highest under-5 mortality"
Epidemiology,Pre-pregnant obesity of mothers in a multi-ethnic cohort is associated with cord blood metabolomic changes in offspring,"Ryan J.,Fadhl M.,Paula A.,Alexandra,Guoxiang,Wei,Shaw J.,Ingrid,Lana X.,Ryan J.,Fadhl M.,Paula A.,Alexandra,Guoxiang,Wei,Shaw J.,Ingrid,Lana X.,Ryan J.,Fadhl M.,Paula A.,Alexandra,Guoxiang,Wei,Shaw J.,Ingrid",
Epidemiology,Serum level of High-density lipoprotein particles are independently associated with long-term prognosis in patients with coronary artery disease: The GENES study,"Thibaut,Jean-Bernard,Annelise,Cécile,Souad,Jean,Bertrand,Laurent O.,Thibaut,Jean-Bernard,Annelise,Cécile,Souad,Jean,Bertrand,Laurent O.,Thibaut,Jean-Bernard,Annelise,Cécile,Souad,Jean,Bertrand",
Epidemiology,"Illness, social disadvantage, and sexual risk behavior in adolescence and the transition to adulthood","Jenna,Rebecca Y.,Sarah E.,Lauren,Zobayer,Rebecca,Daniel E.,Jenna,Rebecca Y.,Sarah E.,Lauren,Zobayer,Rebecca,Daniel E.,Jenna,Rebecca Y.,Sarah E.,Lauren,Zobayer,Rebecca",
Epidemiology,Upscaling the surveillance of tick-borne pathogens in the French Caribbean islands,"Mathilde,Sabine,Valérie,Rosalie,Elodie,Clémence,Jennifer,Muriel,Emmanuel,Sara,Mathilde,Sabine,Valérie,Rosalie,Elodie,Clémence,Jennifer,Muriel,Emmanuel,Sara,Mathilde,Sabine,Valérie,Rosalie,Elodie,Clémence,Jennifer,Muriel,Emmanuel","Despite the high burden of vector-borne disease in (sub)-tropical areas, few information are available regarding the diversity of tick and tick-borne pathogens circulating in the Caribbean. Management and control of vector-borne disease require actual epidemiological data to better assess and anticipate the risk of (re)-emergence of tick-borne diseases in the region. To simplify and reduce the costs of such large-scale surveys, we implemented a high-throughput microfluidic real-time PCR system suitable for the screening of the main bacterial and parasitic genera involved in tick-borne disease and potentially circulating in the area. We used the new screening tool to perform an exploratory epidemiological study on 132 specimens of , and 446 of , collected in Guadeloupe and Martinique. Not only the system was able to detect the main pathogens of the area– ,, ,, ,, ,, ,– but the system also provided evidence of unsuspected microorganisms in Caribbean ticks, belonging to the ,, ,, , and "
Epidemiology,Profiles of circulating histidine-rich glycoprotein associate with chronological age and risk of all-cause mortality,"Mun-Gwan,Tea,Xu,Kimi,Woojoo,Yunzhang,Fredrik,David,Cecilia Engel,Ronald,Jacob,Anders,Angela,Per,Peter,Yudi,Sara,Mathias,Nancy L.,Patrik K. E.,Jochen M.,Mun-Gwan,Tea,Xu,Kimi,Woojoo,Yunzhang,Fredrik,David,Cecilia Engel,Ronald,Jacob,Anders,Angela,Per,Peter,Yudi,Sara,Mathias,Nancy L.,Patrik K. E.,Jochen M.,Mun-Gwan,Tea,Xu,Kimi,Woojoo,Yunzhang,Fredrik,David,Cecilia Engel,Ronald,Jacob,Anders,Angela,Per,Peter,Yudi,Sara,Mathias,Nancy L.,Patrik K. E.",
Genomics,Decoding sequence determinants of gene expression in diverse cellular and disease states,"Avantika,Alexander,Laura,David,Surag,Alex M,M Grace,Jenna L,Nathaniel,Tommaso,Hector,Gabriele,Gokcen,Avantika,Alexander,Laura,David,Surag,Alex M,M Grace,Jenna L,Nathaniel,Tommaso,Hector,Gabriele,Gokcen,Avantika,Alexander,Laura,David,Surag,Alex M,M Grace,Jenna L,Nathaniel,Tommaso,Hector,Gabriele",
Epidemiology,High-density lipoprotein characteristics and coronary heart disease: a Mendelian randomization study,"Albert,Sergi,Alba,Isaac,Robert,Gemma,Fernando,Jaume,Montserrat,Álvaro,Roberto,Albert,Sergi,Alba,Isaac,Robert,Gemma,Fernando,Jaume,Montserrat,Álvaro,Roberto,Albert,Sergi,Alba,Isaac,Robert,Gemma,Fernando,Jaume,Montserrat,Álvaro",
Epidemiology,“Health literacy assessment of primary care patients in Low and Middle Income Countries”,"F.,D.,A.,I.,J.,Sh.,F.,D.,A.,I.,J.,Sh.,F.,D.,A.,I.,J.",
Epidemiology,Global & Temporal Patterns of Submicroscopic ,"Charles,Hannah,Teun,Chris,Azra,Lucy,Charles,Hannah,Teun,Chris,Azra,Lucy,Charles,Hannah,Teun,Chris,Azra",Molecular detection of 
Genomics,Insights into the Molecular Mechanism of Pulmonary Vein Stenosis in Pediatric Patients,"Alyssa B,Pengfei,Lalita,Christopher A.,Manish,Athar M.,Jeffrey S.,Ravi K.,Alyssa B,Pengfei,Lalita,Christopher A.,Manish,Athar M.,Jeffrey S.,Ravi K.,Alyssa B,Pengfei,Lalita,Christopher A.,Manish,Athar M.,Jeffrey S.",
Genomics,Chromatin interaction maps of human arterioles reveal new mechanisms for the genetic regulation of blood pressure,"Yong,Rajan,Qiongzi,Pengyuan,Hong,Jingli,Bhavika,Rong,Kristie,Michael,Chun,Manoj K.,Andrew S.,Allen W.,Sridhar,Aron M.,Michael E.,Mingyu,Yong,Rajan,Qiongzi,Pengyuan,Hong,Jingli,Bhavika,Rong,Kristie,Michael,Chun,Manoj K.,Andrew S.,Allen W.,Sridhar,Aron M.,Michael E.,Mingyu,Yong,Rajan,Qiongzi,Pengyuan,Hong,Jingli,Bhavika,Rong,Kristie,Michael,Chun,Manoj K.,Andrew S.,Allen W.,Sridhar,Aron M.,Michael E.",
Epidemiology,Cross-scale dynamics and the evolutionary emergence of infectious diseases,"Sebastian J.,Ruian,Claude,Miran,Prianna,James O.,Sebastian J.,Ruian,Claude,Miran,Prianna,James O.,Sebastian J.,Ruian,Claude,Miran,Prianna",
Genomics,DNA methylation of transposons pattern aging differences across a diverse cohort of dogs from the Dog Aging Project,"Blaise L.,Brianah M.,Ashlee,Layla,Elizabeth,Christine,Abbey,Benjamin R.,Tal,Yadid,Efrat,Adam,Emily,Anne,Elhanan,Daniel,Noah,Blaise L.,Brianah M.,Ashlee,Layla,Elizabeth,Christine,Abbey,Benjamin R.,Tal,Yadid,Efrat,Adam,Emily,Anne,Elhanan,Daniel,Noah,Blaise L.,Brianah M.,Ashlee,Layla,Elizabeth,Christine,Abbey,Benjamin R.,Tal,Yadid,Efrat,Adam,Emily,Anne,Elhanan,Daniel",
Genomics,Toward Automatic Variant Interpretation: Discordant Genetic Interpretation Across Variant Annotations for ClinVar Pathogenic Variants,"Ann, Yu-An,Tzu-Hang,Jia-Hsing,Yu-Bin,Tzu-Mao,Chien-Yu,Jacob Shujui,Pei-Lung,Ann, Yu-An,Tzu-Hang,Jia-Hsing,Yu-Bin,Tzu-Mao,Chien-Yu,Jacob Shujui,Pei-Lung,Ann, Yu-An,Tzu-Hang,Jia-Hsing,Yu-Bin,Tzu-Mao,Chien-Yu,Jacob Shujui",
Genomics,A Constitutive Heterochromatic Region Shapes Genome Organization and Impacts Gene Expression in ,"Andrew T.,Abhishek,Jacob M.,Carlos G.,Oluwatosin,Andrew D.,Andrew T.,Abhishek,Jacob M.,Carlos G.,Oluwatosin,Andrew D.,Andrew T.,Abhishek,Jacob M.,Carlos G.,Oluwatosin",
Ecology,"Genetic diversity affects ecosystem functions across trophic levels as much as species diversity, but in an opposite direction","Laura,Camille,Maxim,Jerome G.,Madoka,Rik,Charlotte,Murielle,Delphine,Geraldine,Simon,Laura,Camille,Maxim,Jerome G.,Madoka,Rik,Charlotte,Murielle,Delphine,Geraldine,Simon,Laura,Camille,Maxim,Jerome G.,Madoka,Rik,Charlotte,Murielle,Delphine,Geraldine",
Genomics,The first near-complete genome assembly of pig: enabling more accurate genetic research,"Caiyun,Jian,Qinqin,Jiabao,Hong,Zhenyang,Fen,Shuang,Xiaowei,Zhe,Qishan,Yuchun,Zhen,Caiyun,Jian,Qinqin,Jiabao,Hong,Zhenyang,Fen,Shuang,Xiaowei,Zhe,Qishan,Yuchun,Zhen,Caiyun,Jian,Qinqin,Jiabao,Hong,Zhenyang,Fen,Shuang,Xiaowei,Zhe,Qishan,Yuchun",
Genomics,"Diversification, loss, and virulence gains of the major effector AvrStb6 during continental spread of the wheat pathogen ","Ana Margarida,Sabina,Faharidine,Yannick,Jerome,Cyrille,Daniel,Ana Margarida,Sabina,Faharidine,Yannick,Jerome,Cyrille,Daniel,Ana Margarida,Sabina,Faharidine,Yannick,Jerome,Cyrille","Interactions between plant pathogens and their hosts are highly dynamic and mainly driven by pathogen effectors and plant receptors. Host-pathogen co-evolution can cause rapid diversification or loss of pathogen genes encoding host-exposed proteins. The molecular mechanisms that underpin such sequence dynamics remains poorly investigated at the scale of entire pathogen species. Here, we focus on AvrStb6, a major effector of the global wheat pathogen ,, evolving in response to the cognate receptor Stb6, a resistance widely deployed in wheat. We comprehensively captured effector gene evolution by analyzing a global thousand-genome panel using reference-free sequence analyses. We found that AvrStb6 has diversified into 59 protein isoforms with a strong association to the pathogen spreading to new continents. Across Europe, we found the strongest differentiation of the effector consistent with high rates of Stb6 deployment. The , locus showed also a remarkable diversification in transposable element content with specific expansion patterns across the globe. We detected the "
Genomics,Extensive sequencing of a broadly-consented Genome in a Bottle matched tumor-normal pair towards development of somatic benchmarks,"Jennifer H.,Vaidehi,Nathan D.,Hua-Jun,Zhiyong,Kenneth D.,Anthony,Kristin,Fritz J,Harsha,Shalini N.,Donna M.,Marie-Claude,Heer,Luis F,Alex R,Hung-Chun,Victor,Alison,Katie,Jamie,Isai,Mitch,Kelly,Bryan R.,Shawn,Miten,Stuart,Giuseppe,Zoe,Catherine,Jennifer,Sarah B.,Christine,Primo,Aaron M.,Ian J.,Aaron,Christopher,Melanie,Young,Benedict,Jimin,Ivo,Karen H,Joshua,Brandy,Gail,Rajiv,Francesco,Erfan,Konrad,Sean,Severine,Lesley Chapman,Doron,Hila,Nika,Ilya,Stephen,Mary,Erin,Greg,Stephen,Michael,Mikhail,Tanveer,Ayse,Asher,Francoise,Jonathan,Jacqueline,Jeremy W.,Krista,Christopher E.,Justin,Chunlin,Andrew S.,Justin M.,Jennifer H.,Vaidehi,Nathan D.,Hua-Jun,Zhiyong,Kenneth D.,Anthony,Kristin,Fritz J,Harsha,Shalini N.,Donna M.,Marie-Claude,Heer,Luis F,Alex R,Hung-Chun,Victor,Alison,Katie,Jamie,Isai,Mitch,Kelly,Bryan R.,Shawn,Miten,Stuart,Giuseppe,Zoe,Catherine,Jennifer,Sarah B.,Christine,Primo,Aaron M.,Ian J.,Aaron,Christopher,Melanie,Young,Benedict,Jimin,Ivo,Karen H,Joshua,Brandy,Gail,Rajiv,Francesco,Erfan,Konrad,Sean,Severine,Lesley Chapman,Doron,Hila,Nika,Ilya,Stephen,Mary,Erin,Greg,Stephen,Michael,Mikhail,Tanveer,Ayse,Asher,Francoise,Jonathan,Jacqueline,Jeremy W.,Krista,Christopher E.,Justin,Chunlin,Andrew S.,Justin M.,Jennifer H.,Vaidehi,Nathan D.,Hua-Jun,Zhiyong,Kenneth D.,Anthony,Kristin,Fritz J,Harsha,Shalini N.,Donna M.,Marie-Claude,Heer,Luis F,Alex R,Hung-Chun,Victor,Alison,Katie,Jamie,Isai,Mitch,Kelly,Bryan R.,Shawn,Miten,Stuart,Giuseppe,Zoe,Catherine,Jennifer,Sarah B.,Christine,Primo,Aaron M.,Ian J.,Aaron,Christopher,Melanie,Young,Benedict,Jimin,Ivo,Karen H,Joshua,Brandy,Gail,Rajiv,Francesco,Erfan,Konrad,Sean,Severine,Lesley Chapman,Doron,Hila,Nika,Ilya,Stephen,Mary,Erin,Greg,Stephen,Michael,Mikhail,Tanveer,Ayse,Asher,Francoise,Jonathan,Jacqueline,Jeremy W.,Krista,Christopher E.,Justin,Chunlin,Andrew S.",
Genomics,Genotyping sequence-resolved copy-number variation using pangenomes reveals paralog-specific global diversity and expression divergence of duplicated genes,"Walfred,Mark,Walfred,Mark,Walfred",
Zoology,Discovery of a new species of subterranean eel loach from southern India,"K.R.,B.,K. R.,Sandhya,Wilson,Alvin,K.R.,B.,K. R.,Sandhya,Wilson,Alvin,K.R.,B.,K. R.,Sandhya,Wilson"," sp nov, a new species of subterranean eel loach, is described from Kerala, India. It is distinguished from its subterranean congeners by the presence of a dorsal fin, four pectoral rays and five segmented anal fin rays. Genetic analyses suggest that , is closely related to , but is distinct in morphology, particularly by the presence of a dorsal fin. The low genetic distance and significant morphological difference between these two , species suggest that they have diverged from an immediate common ancestor and evolved distinct adaptations to subterranean niches. , exhibits less evolved troglobitic traits compared to , and "
Zoology,"Waves of light at the bottom of the ocean: insights into the luminous systems of three sea pens (Pennatuloidea, Octocorallia, Anthozoa)","Laurent,Gabriela A.,Constance,Laure,René,Marcelo R.S.,Martin,Danilo T.,Sam,Anderson G.,Jérôme,Laurent,Gabriela A.,Constance,Laure,René,Marcelo R.S.,Martin,Danilo T.,Sam,Anderson G.,Jérôme,Laurent,Gabriela A.,Constance,Laure,René,Marcelo R.S.,Martin,Danilo T.,Sam,Anderson G.",
Zoology,Trace Elements in Fish: Assessment of bioaccumulation and associated health risks,"Saima,Qudrat,Dalia,Abdul,Maria,Muhammad Waqar,Ahmad Manan Mustafa,Saima,Qudrat,Dalia,Abdul,Maria,Muhammad Waqar,Ahmad Manan Mustafa,Saima,Qudrat,Dalia,Abdul,Maria,Muhammad Waqar",
