title,author,abstract
Data Hunters: bridging bioinformatics education and microbiome research,"Sara,Alice,Maurizio,Luca,Giulia,Massimo,Antonia,Sara,Alice,Maurizio,Luca,Giulia,Massimo,Antonia,Sara,Alice,Maurizio,Luca,Giulia,Massimo,Antonia","Vast sequencing data in public repositories offer researchers unprecedented opportunities for gaining insights through reanalysis and machine learning approaches, thereby advancing the microbiology field. However, the lack of standardized metadata poses a significant obstacle to big data reuse, necessitating advanced bioinformatics skills for curation and integration."
Empowering future scientists: Mentors employ various strategies to engage students in professional science disciplinary literacy practices,"Trisha,Tanya,Gwendolyn,Gary S,Sarah C,Trisha,Tanya,Gwendolyn,Gary S,Sarah C,Trisha,Tanya,Gwendolyn,Gary S,Sarah C","Peer-review and publication are important parts of the scientific enterprise, and research has shown that engaging students in such scholarly practices helps build their sense of belonging and scientific identity. Yet, these disciplinary literacy skills and professional practices are often part of the hidden curriculum of science research, thus excluding students and others from fully understanding ways in which scientific knowledge is constructed, refined, and disseminated even though students are participating in such activities. Secondary students are increasingly involved in scientific research projects that include authentic disciplinary literacy components such as research proposals, posters, videos, and scientific research papers. More and more, students are also engaging in professional practice of publishing their scientific research papers through dedicated secondary science journals. How teachers and other mentors support the development of professional disciplinary literacies in students is critical to understand as part of supporting more student participation in research. To this end, we used a mixed- methods study of interviews and surveys to examine the experience and conceptions of the mentors (teachers and professional scientists) who guided pre-college students through the writing and publication of their scientific research projects. Analyzing our data from a lens of cognitive apprenticeship, we find that mentors encourage independence by primarily employing the method of “exploration”. We also find that mentors have divergent views on the value of publication within science, versus for student scientists specifically. Our findings suggest that mentors could work to explicitly reveal their own thinking within science writing to provide more sequenced support for student scientists."
Metabolic interplay drives population cycles in a cross-feeding microbial community,"Tyler,Christopher A,Ophelia,Tyler,Christopher A,Ophelia,Tyler,Christopher A,Ophelia","Population cycles are prevalent in ecosystems and play key roles in determining their functions. While multiple mechanisms have been theoretically shown to generate population cycles, there are limited examples of mutualisms driving self-sustained oscillations. Using an engineered microbial community that cross-feeds essential amino acids, we experimentally demonstrate cycles in strain abundance that are robust across environmental conditions. A nonlinear dynamical model that incorporates the experimentally observed cross-inhibition of amino acid production recapitulates the population cycles. The model shows that the cycles represent internally generated relaxation oscillations, which emerge when fast resource dynamics with positive feedback drive slow changes in strain abundance. Our findings highlight the critical role of resource dynamics and feedback in shaping population cycles in microbial communities and have implications for biotechnology."
Anticipatory emotions and academic performance: The role of boredom in a preservice teachers’ lab experience,"Jesús A.,José María,Cristina,María Rocío,Jesús A.,José María,Cristina,María Rocío,Jesús A.,José María,Cristina,María Rocío","Affective experiences within academic contexts significantly influence educational outcomes. Despite this, the literature reveals a gap in generalising these effects to specific classroom activities, partly arising from the absence of suitable instruments to measure emotions in situational educational scenarios. Our study introduces an experience sampling method to measure sixteen discrete emotional states, deriving two scales for positive and negative activating emotions. Grounded in psychological and neuroscientific theories that integrate emotion with cognition, our research explores the interplay between prior knowledge, preservice teachers’ anticipatory situational emotions, and subsequent learning in an experimental science education context. Analysing data from 269 preservice teachers from diverse backgrounds (STEM and non-STEM) at the upper-secondary level, we found that negative activating emotions are often rooted in non-STEM backgrounds and exacerbated by limited prior science knowledge. These negative emotions impact achievement and learning primarily through the mediating role of boredom. Furthermore, our results indicate that the detrimental impact of boredom on achievement is significantly influenced by prior knowledge, with a more pronounced effect on students with lower levels. Given that emotions are amenable to intervention, our findings propose that specifically addressing boredom in students with low prior knowledge could amplify the benefits of educational strategies."
Quantifying Data Distortion in Bar Graphs in Biological Research,"Teng-Jui,Markita P.,Teng-Jui,Markita P.,Teng-Jui,Markita P.","Over 88% of biological research articles use bar graphs, of which 29% have undocumented data distortion mistakes that over- or under-state findings. We developed a framework to quantify data distortion and analyzed bar graphs published across 3387 articles in 15 journals, finding consistent data distortions across journals and common biological data types. To reduce bar graph-induced data distortion, we propose recommendations to improve data visualization literacy and guidelines for effective data visualization."
Energy-based Modelling of Single Actin Filament Polymerisation Using Bond Graphs,"Peter,Michael,Vijay,Peter,Michael,Vijay,Peter,Michael,Vijay","Bond graphs provide an energy-based methodology for modelling complex systems in a hierarchical fashion; at the moment, the method allows biological system with both chemical and electrical subsystems to be modelled. Herein, the bond graph approach is extended to include chemomechanical transduction thus extending the range of biological systems to be modelled.
Actin filament polymerisation and force generation is used as an example of chemomechanical transduction and it is shown that the TF (transformer) bond graph component provides a practical, and conceptually simple, alternative to the Brownian ratchet approach of Peskin, Odell, Oster & Mogilner. Furthermore it is shown that the bond graph approach leads to the same equation as the Brownian ratchet approach in the simplest case.
The approach is illustrated by showing that flexibility and non-normal incidence can be modelled by simply adding additional bond graph components and that compliance leads to non-convexity of the force-velocity curve.
Energy flows are fundamental to life; for this reason, the energy based approach is utilised to investigate the power transmission by the actin filament and its corresponding efficiency.
The bond graph model is fitted to experimental data by adjusting model physical parameters."
Insights into Health Data Science Education: A Qualitative Content Analysis,"Narjes,Michael,Kobi,Areti,Narjes,Michael,Kobi,Areti,Narjes,Michael,Kobi,Areti",
Desmosome mutations impact the tumor microenvironment to promote melanoma proliferation,"Maayan,Mohita,Patrick,Fan,Dalia,Itai,Jing,Maija,Richard,Trey,Maayan,Mohita,Patrick,Fan,Dalia,Itai,Jing,Maija,Richard,Trey,Maayan,Mohita,Patrick,Fan,Dalia,Itai,Jing,Maija,Richard,Trey","Desmosomes are transmembrane protein complexes that contribute to cell-cell adhesion in epithelia and other tissues. Here, we report the discovery of frequent genetic alterations in the desmosome in human cancers, with the strongest signal seen in cutaneous melanoma where desmosomes are mutated in >70% of cases. In primary but not metastatic melanoma biopsies, the burden of coding mutations in desmosome genes associates with a strong reduction in desmosome gene expression. Analysis by spatial transcriptomics and protein immunofluorescence suggests that these expression decreases occur in keratinocytes in the microenvironment rather than in primary melanoma cells. In further support of a microenvironmental origin, we find that desmosome gene knockdown in keratinocytes yields markedly increased proliferation of adjacent melanoma cells in keratinocyte/melanoma co-cultures. Similar increases in melanoma proliferation are observed in media preconditioned by desmosome-deficient keratinocytes. Thus, gradual accumulation of desmosome mutations in neighboring cells may prime melanoma cells for neoplastic transformation."
Equity in Action: A Four-Year journey towards Gender Parity and Racial Diversity in Biochemistry Hiring,"Sherri L,Valerie,Scott,Amy,Mark D,Sherri L,Valerie,Scott,Amy,Mark D,Sherri L,Valerie,Scott,Amy,Mark D","Recruitment of faculty members in academic departments shapes the department for decades in both research and teaching arenas. Having a diverse department is beneficial for undergraduate and graduate students as representation of underrepresented minority groups in the professoriate can inspire a greater diversity of students to pursue higher levels of education or research-focused careers. Increased diversity benefits research directly as diverse teams have been shown to have better ideas and outcomes. In 2020, our department had lower gender diversity than would be expected based on the pool of PhD students and post-doctoral fellows in Canada. Therefore, we altered our hiring process, primarily by redacting applications, for recruitment into entry-level tenure-track faculty positions. With this change in process, female hires increased from 17% in the previous ten years (5 hires) to 80% in the subsequent four years (5 hires) with no substantial change in hiring of racially diverse individuals (50% to 40%). Overall, combined with retirements, the percentage of female faculty in the department went from 25% to 50% and the percentage of racialized faculty went from 38% to 44%. The new hires have met or exceeded expectations of success with respect to grant funding and are on track to meet or exceed expectations for other metrics of success. Thus, our intervention was very successful in increasing the diversity of our department within a short timeframe. We believe that our experience could provide other departments with a template for making substantive change, even in the absence of internal expertise in the area."
Genome and tissue-specific transcriptome of the tropical milkweed (Asclepias curassavica),"Honglin,Jing,Adrian F,Gretta L,Lily,Ethan,Fumin,Steven B,Georg,Susan R,Honglin,Jing,Adrian F,Gretta L,Lily,Ethan,Fumin,Steven B,Georg,Susan R,Honglin,Jing,Adrian F,Gretta L,Lily,Ethan,Fumin,Steven B,Georg,Susan R","Tropical milkweed (Asclepias curassavica) serves as a host plant for monarch butterflies (Danaus plexippus) and other insect herbivores that can tolerate the abundant cardiac glycosides that are characteristic of this species. Cardiac glycosides, along with additional specialized metabolites, also contribute to the ethnobotanical uses of A. curassavica. To facilitate further research on milkweed metabolism, we assembled the 197 Mbp genome of a fifth-generation inbred line of A. curassavica into 619 contigs, with an N50 of 10 Mbp. Scaffolding resulted in 98% of the assembly being anchored to 11 chromosomes, which are mostly colinear with the previously assembled common milkweed (A. syriaca) genome. Assembly completeness evaluations showed that 98% of the BUSCO gene set is present in the A. curassavica genome assembly. The transcriptomes of six tissue types (young leaves, mature leaves, stems, flowers, buds, and roots), with and without defense elicitation by methyl jasmonate treatment, showed both tissue-specific gene expression and induced expression of genes that may be involved in cardiac glycoside biosynthesis. Expression of a CYP87A gene, the predicted first gene in the cardiac glycoside biosynthesis pathway, was observed only in the stems and roots and was induced by methyl jasmonate. Together, this genome sequence and transcriptome analysis provide important resources for further investigation of the ecological and medicinal uses of A. curassavica."
Features and signals in precocious citation impact: a meta-research study,"John,John,John","Some scientists reach top citation impact in a very short time once they start publishing. The current analysis defined precocious citation impact as rising to become a top-cited scientist within t≤8 years after the first publication year. Ultra-precocious citation impact was defined similarly for t ≤5 years. Top-cited authors included those in the top-2% of a previously validated composite citation indicator across 174 subfields of science or in the top-100,000 authors of that composite citation indicator across all science based on Scopus. Annual data between 2017 and 2023 show a strong increase over time, with 469 precocious and 66 ultra-precocious citation impact Scopus author IDs in 2023. In-depth assessment of validated ultra-precocious scientists in 2023, showed significantly higher frequency of less developed country affiliation (71%), clustering in 4 high-risk subfields (Environmental Sciences, Energy, Artificial Intelligence & Image Processing, Mechanical Engineering & Transports) (64%), self-citations for their field  above the 95th percentile (31%), being top-cited only when self-citations were included (20%), citations to citing papers ratio for their field above the 95th percentile (15%), extreme publishing behavior (7%), and extreme citation orchestration metric c/h2<2.45 (15%) compared with all top-cited authors (p<0.005 for all signals). The 17 ultra-precocious citation impact authors in the 2017-2020 top-cited lists who had retractions by October 2024 showed on average 4 of these 7 signal indicators at the time they entered the top-cited list. While some authors with precocious citation impact may be stellar scientists, others probably herald massive manipulative or fraudulent behaviors infiltrating the scientific literature."
"Meta-analysis: Purity of extracted human blood DNA, , gDNA, and plasmid using magnetic nanoparticle","Stanley Evander Emeltan,Mudasir,Edi,Budi Setiadi,Stanley Evander Emeltan,Mudasir,Edi,Budi Setiadi,Stanley Evander Emeltan,Mudasir,Edi,Budi Setiadi","DNA extraction technology continues to evolve along with the need for a fast and simple process. The DNA extraction with magnetic nanoparticles accommodates these demands by providing a method that is safe, simple, and yet able to give good purity. The purity parameter of the extracted DNA is based on the A260/280 value. This meta-analysis aims to find variables that can affect the purity of extracted DNA using magnetic nanoparticles, based on its extraction and particle synthesis procedure. The information to be analyzed is from DNA extraction from human blood, plasmid extraction, and E. coli gDNA extraction. The research begins with a systematic review to collect appropriate studies and analysis will be carried out using Minitab to find variables that affect the purity of DNA, either positive or negative. Here we show, that no variables have been found significant to the purity of the extracted DNA in both the DNA extraction procedure steps and reagents. For the magnetic nanoparticle synthesis method, for extraction of , gDNA, coating agent TEOS/TiO,; CoZnFe,O, magnetic nanoparticles, and the interaction between CoZnFe,O, and TEOS are found to be variables that influence the purity of the extracted DNA based on A260/280. Hopefully, this information can be used as a development idea, either for the magnetic nanoparticle synthesis procedure or the selection of reagents and DNA extraction procedures. In addition, the results of this analysis can also be used for consideration in an in-house magnetic nanoparticle-based DNA extraction assembly."
GCS-H2 is essential for growth as it acts as the main relay for mitochondrial lipoylation in heterotrophic tissues of Arabidopsis thaliana,"jonathan,Clement,Marta,Saleh,Katharina,Aurelien,hans,Hermann,Alisdair R,Olivier,jonathan,Clement,Marta,Saleh,Katharina,Aurelien,hans,Hermann,Alisdair R,Olivier,jonathan,Clement,Marta,Saleh,Katharina,Aurelien,hans,Hermann,Alisdair R,Olivier","H-protein is part of the multi-protein glycine cleavage system found in both prokaryotes and eukaryotes. The Arabidopsis thaliana genome contains three loci for genes encoding H-protein. We show that in land plants, there are two clades of mitochondrial H-proteins; one that clusters with H1 and H3, and another that clusters with H2, an isoform mostly expressed in heterotrophic tissue and for which a null mutation results in a >99% impeded growth. After showing that all three isoforms fulfill the same metabolic function, we evidenced that the impaired root growth in h2 results from an altered cell cycle progression concomitant to a lower Target Of Rapamycin kinase activity. Subsequent metabolomic approaches revealed an accumulation of storage sugars and a significant decrease of the TCA intermediates and several vitamins in the h2 root cells as compared to the wild-type ones. 
Additional investigations evidenced that H2 acts as the main relay for lipoylation in root mitochondria, which diverges from the current lipoylation model proposed for photosynthetic tissues. Together, this work provides new insight on the control of the cell cycle by mitochondrial metabolism, and also challenges the current dogma for lipoylation in mitochondria of plant cells."
Artificial Intelligence’s Contribution to Biomedical Literature Search: Revolutionizing or Complicating?,"Rui,Young Joo,Alexander G.,Vinit B.,Rui,Young Joo,Alexander G.,Vinit B.,Rui,Young Joo,Alexander G.,Vinit B.","There is a growing number of articles about conversational AI (i.e., ChatGPT) for generating scientific literature reviews and summaries. Yet, comparative evidence lags its wide adoption by many clinicians and researchers. We explored ChatGPT’s utility for literature search from an end-user perspective through the lens of clinicians and biomedical researchers. We quantitatively compared basic versions of ChatGPT’s utility against conventional search methods such as Google and PubMed. We further tested whether ChatGPT user-support tools (i.e., plugins, web-browsing function, prompt-engineering, and custom-GPTs) could improve its response across four common and practical literature search scenarios: (,) high-interest topics with an abundance of information, (,) niche topics with limited information, (,) scientific hypothesis generation, and (,) for newly emerging clinical practices questions. Our results demonstrated that basic ChatGPT functions had limitations in consistency, accuracy, and relevancy. User-support tools showed improvements, but the limitations persisted. Interestingly, each literature search scenario posed different challenges: an abundance of secondary information sources in high interest topics, and uncompelling literatures for new/niche topics. This study tested practical examples highlighting both the potential and the pitfalls of integrating conversational AI into literature search processes, and underscores the necessity for rigorous comparative assessments of AI tools in scientific research."
Glutathione accelerates the cell cycle and cellular reprogramming in plant regeneration,"Laura R,Bruno,Ramin,Chanel,Bénédicte,Crisanto,Kenneth D,Laura R,Bruno,Ramin,Chanel,Bénédicte,Crisanto,Kenneth D,Laura R,Bruno,Ramin,Chanel,Bénédicte,Crisanto,Kenneth D","The plasticity of plant cells underlies their wide capacity to regenerate, with increasing evidence in plants and animals implicating cell cycle dynamics in cellular reprogramming. To investigate the cell cycle during cellular reprogramming, we developed a comprehensive set of cell cycle phase markers in the Arabidopsis root. Using single-cell RNA-seq profiles and live imaging during regeneration, we found that a subset of cells near an ablation injury dramatically increases division rate by truncating G1. Cells in G1 undergo a transient nuclear peak of glutathione (GSH) prior to coordinated entry into S phase followed by rapid divisions and cellular reprogramming. A symplastic block of the ground tissue impairs regeneration, which is rescued by exogenous GSH. We propose a model in which GSH from the outer tissues is released upon injury licensing an exit from G1 near the wound to induce rapid cell division and reprogramming."
LeDNA: a cut-and-build toolkit to democratize education on CRISPR gene editing technology,"Guilherme E.,Alina S. L.,Vitória F. B.,Laura A. S.,Gabriela B.,Almiro P. S.,Juliana A. D. B.,Danielle B.,Guilherme E.,Alina S. L.,Vitória F. B.,Laura A. S.,Gabriela B.,Almiro P. S.,Juliana A. D. B.,Danielle B.,Guilherme E.,Alina S. L.,Vitória F. B.,Laura A. S.,Gabriela B.,Almiro P. S.,Juliana A. D. B.,Danielle B.","We introduce LeDNA, a versatile educational toolkit designed for teaching fundamental genetics and CRISPR-Cas gene editing principles in diverse settings, regardless of existing infrastructure. Fabricated using laser-cutting techniques, LeDNA is an open-source resource suitable for students across educational levels, from high school to graduate studies. Given the transformative potential of CRISPR technology in various fields, including medicine and agriculture, a widespread understanding of its principles is essential for informed public discourse and acceptance. By providing a readily accessible and affordable tool, LeDNA aims to democratize genetics and CRISPR education globally, fostering a more informed and engaged community."
Functional study of Phaeodactylum tricornutum Seipin homolog highlights unique features of lipid droplets biogenesis in diatoms.,"Damien,Fabien,Catherine,Mégane,Matteo,Grégory,Pierre-Henri,Valerie,Mathilde,Sylvaine,Chems,Marta,Rachel,Yangmin,Yufang,Hanhua,Olivier,Juliette,Alberto,Eric,Juliette,Damien,Fabien,Catherine,Mégane,Matteo,Grégory,Pierre-Henri,Valerie,Mathilde,Sylvaine,Chems,Marta,Rachel,Yangmin,Yufang,Hanhua,Olivier,Juliette,Alberto,Eric,Juliette,Damien,Fabien,Catherine,Mégane,Matteo,Grégory,Pierre-Henri,Valerie,Mathilde,Sylvaine,Chems,Marta,Rachel,Yangmin,Yufang,Hanhua,Olivier,Juliette,Alberto,Eric,Juliette","Diatoms are a major phylum of microalgae, playing crucial ecological roles. They derive from secondary endosymbiosis of a red alga by an unknown heterotrophic eukaryote, leading to a complex intracellular organization. In response to unfavorable conditions (stress), diatoms store oil in lipid droplets (LD), raising interest for applications, in particular biofuels. In spite of numerous investigations aiming to increase their oil content, LD biogenesis mechanisms in these organisms remain poorly understood. In this study, we functionally characterized the homolog of Seipin, a major actor of LD biogenesis, in the diatom Phaeodactylum tricornutum. PtSeipin shares conserved structural features with other Seipins, yet presents unique characteristics, that appear common to diatoms and more broadly Stramenopiles. We provide evidence that Stramenopiles Seipins were inherited from the host during secondary endosymbiosis. The localization of PtSeipin highlights that LD biogenesis can arise simultaneously from the endoplasmic reticulum (ER) and the plastid's most external membrane. Finally, the knock-out of PtSeipin leads to a strong increase of TAG accumulation, a feature that is not observed in other organisms and is greatly enhanced following high light exposure. Our results suggest a redirection of lipid fluxes towards TAG synthesis, reduced TAG recycling or a combination of both."
Three cytochrome P450 enzymes catalyse the formation of furanoclerodane precursors in Salvia spp.,"Ruoxi,Haixiu,Yiren,Zhuo,Licheng,Gerhard,Carlo,Cathie,Evangelos,Ruoxi,Haixiu,Yiren,Zhuo,Licheng,Gerhard,Carlo,Cathie,Evangelos,Ruoxi,Haixiu,Yiren,Zhuo,Licheng,Gerhard,Carlo,Cathie,Evangelos","Salvia species native to the Americas are rich in valuable bioactive furanoclerodanes, like the psychoactive salvinorin A found in Salvia divinorum, which is used in treatment of opioid addiction. However, there is relatively little known about their biosynthesis. To address this, we investigated the biosynthesis of salviarin, the simplest furanoclerodane structure in the ornamental sage Salvia splendens. Using a self-organizing map and mutual rank analysis of RNA-seq co-expression data, we identified three cytochrome P450 enzymes responsible for converting kolavenol into salviarin precursors, consecutively: annonene, hardwickiic acid and hautriwaic acid. As annonene and hardwickiic acid have also been proposed as intermediates in the biosynthesis of salvinorin A, and to examine our hypothesis for common evolutionary origin of the furanoclerodane pathway between the two Salvia species, we searched for homologous genes in available data for S. divinorum. The enzymes encoded by orthologous genes from S. divinorum displayed kolavenol synthase (SdKLS), annonene synthase (SdANS), and hardwickiic acid synthase (SdHDAS) activity respectively, supporting the view that these are intermediate steps in the biosynthesis of salvinorin A. We investigated the origin of annonene synthase and the role of gene duplication in the evolution of this specific activity. Our work shows how S. splendens can serve as a model species for studying furanoclerodanes biosynthesis in Salvia species, contributes to understanding the evolution of specialized metabolism in plants, and provides new tools to produce salvinorin A in biotechnological chassis."
A comparative analysis between two flax varieties indicates lignan-mediated salt stress adaptiveness,"Anirban Jyoti,Ĺubomír,Matúš,Marek,Eva,Veronika,Ján,Katarína,Anirban Jyoti,Ĺubomír,Matúš,Marek,Eva,Veronika,Ján,Katarína,Anirban Jyoti,Ĺubomír,Matúš,Marek,Eva,Veronika,Ján,Katarína","United Nations predicted forthcoming food scarcity creates an urgency in research to assess and improve agriculturally important plant yield under environmental stress conditions. In this context, lignans are potential defensive substances that accumulate in plants during abiotic stresses. Flax (, L.) is one of the richest lignan source. Plant genotypes differ in lignan contents. Therefore, to draw a correlation between genotype-specific lignan content and plant salinity-adaptiveness, we compared two flax varieties Flanders and Astella, where Flanders has higher lignan contents than Astella. We used a 1-week NaCl stress for the study. Post-stress morphological analyses revealed comparatively higher growth arrest in Flanders, suggesting its energy and resource-saving behaviour than Astella. Salinity-mediated reactive oxygen species production and associated cell damage were relatively greater in Astella than in Flanders. In biochemical stress marker assays, we found comparatively upregulated antioxidants and osmoprotection machinery in Flanders, showing its higher ROS scavenging and cellular protection capabilities than Astella. Moreover, the two-tailed qPCR assay showed comparatively higher upregulation of three lignan biosynthesis-related miRNAs - miR168a, miR399g, and miR828a in stressed Flanders indicating its emphasised involvement of lignans in salt stress mitigation. The results depict the superiority of Flanders in salt stress mitigation over Astella."
Meta-analysis of public RNA-sequencing Data of Drought and Salt Stresses in Different Phenotypes of ,"Mitsuo,Hidemasa,Mitsuo,Hidemasa,Mitsuo,Hidemasa","Environmental stresses, such as drought and salt, adversely affect plant growth and crop productivity. While many studies have focused on established components of stress signaling pathways, research on unknown elements remains limited. In this study, we collected RNA sequencing (RNA-Seq) data from , registered in public databases and conducted a meta-analysis integrating multiple studies. We analyzed 105 paired RNA-Seq datasets from resistant or susceptible , cultivars under salt and drought conditions to identify novel stress-responsive genes with common expression changes across these datasets. A meta-analysis identified 10 genes specifically upregulated in resistant cultivars and 12 specifically upregulated in susceptible cultivars under both drought and salt conditions. Furthermore, by comparing previously identified stress-responsive genes in ,, we explored genes potentially involved in stress response mechanisms that are conserved across plant species. The genes identified in this data-driven study may serve as targets for future research and genome editing."
Biochemical and Phytochemical Efficacy of Defatted Moringa oleifera Seeds in combating Malnutrition,"Raphael Eneji,Gideon,Rose Mafo,Godwin Amoka,Abdullahi,Raphael Eneji,Gideon,Rose Mafo,Godwin Amoka,Abdullahi,Raphael Eneji,Gideon,Rose Mafo,Godwin Amoka,Abdullahi","Protein-energy malnutrition (PEM) is a severe health condition affecting millions, especially in developing regions. This study investigates the potential of Moringa oleifera seeds as a low-cost protein source to address protein energy malnutrition. Moringa oleifera seeds were defatted using solvent and used in formulating diets for PEM-induced Wistar rats. The study analyzed the seeds' phytochemical constituents, proximate composition, amino acid profiles, and bioactive compounds through Gas Chromatograph-Mass Spectroscopy (GC-MS). 20 Rats were randomly assigned to four groups: A=control, B= PEM, C= malnourished rats treated with 15% soya bean based-diet and D= malnourished rats  treated with 15% defatted Moringa oleifera seed-based diet. The results show that defatting increased protein content and reduced anti-nutritional factors like oxalates, saponins, and tannins, enhancing nutrient bioavailability. Defatted Moringa oleifera seed-based diets improved liver and kidney functions, lipid profiles, and protein digestibility in protein energy malnutrition-induced rats. Additionally, the seeds contained essential bioactive compounds with potential antioxidant, antimicrobial, and anti-inflammatory properties. These findings suggest that Moringa oleifera seeds could be a promising alternative protein source for combating protein energy malnutrition"
Highly expressed cell wall genes contribute to robustness of sepal size,"Diego A,Mathilde,Nelly,Françoise,Arezki A,Diego A,Mathilde,Nelly,Françoise,Arezki A,Diego A,Mathilde,Nelly,Françoise,Arezki A","Reproducibility in organ size and shape is a fascinating trait of living organisms. The mechanisms underlying such robustness remain, however, to be elucidated. Taking the sepal of Arabidopsis as a model, we investigated whether variability of gene expression plays a role in variation of organ morphology. Previous work from our team identified cell-wall related genes as being enriched among the genes whose expression is highly variable. We then hypothesized that the variation of measured morphological parameters in cell-wall related single knockout mutants could be correlated with the variation in gene expression of the corresponding gene (the knocked-out gene) in wild-type plants. We analyzed sepal morphology from 16 cell-wall mutants and found that, unexpectedly, the higher a gene is expressed in wild type, the more variable the size of the corresponding mutant. These findings support a contribution of cell-wall related genes to the robustness of sepal size."
Reconstructing signaling history of single cells with imaging-based molecular recording,"Kai,Mykel,Zainalabedin,Amirhossein,Yuka,Amjad,Kai,Mykel,Zainalabedin,Amirhossein,Yuka,Amjad,Kai,Mykel,Zainalabedin,Amirhossein,Yuka,Amjad","The intensity and duration of biological signals encode information that allows a few pathways to regulate a wide array of cellular behaviors. Despite the central importance of signaling in biomedical research, our ability to quantify it in individual cells over time remains limited. Here, we introduce INSCRIBE, an approach for reconstructing signaling history in single cells using endpoint fluorescence images. By regulating a CRISPR base editor, INSCRIBE generates mutations in genomic target sequences, at a rate proportional to signaling activity. The number of edits is then recovered through a novel ratiometric readout strategy, from images of two fluorescence channels. We engineered human cell lines for recording WNT and BMP pathway activity, and demonstrated that INSCRIBE faithfully recovers both the intensity and duration of signaling. Further, we used INSCRIBE to study the variability of cellular response to WNT and BMP stimulation, and test whether the magnitude of response is a stable, heritable trait. We found a persistent memory in the BMP pathway. Progeny of cells with higher BMP response levels are likely to respond more strongly to a second BMP stimulation, up to 3 weeks later. Together, our results establish a scalable platform for genetic recording and , readout of signaling history in single cells, advancing quantitative analysis of cell-cell communication during development and disease."
"MOLECULAR CHARACTERIZATION AND PROMOTER ELEMENT ANALYSIS OF GROWTH REGULATOR BRAGRF5 IN , L. SSP. ","Xiu-Ying,Jing,Xian-Hui,Gai-Zhen,Chuang-Ye,Qi-Zhang,Xiu-Ying,Jing,Xian-Hui,Gai-Zhen,Chuang-Ye,Qi-Zhang,Xiu-Ying,Jing,Xian-Hui,Gai-Zhen,Chuang-Ye,Qi-Zhang","The transcriptional regulation of eukaryotic gene expression is a critical aspect, with transcription factors playing a key role by combining with cis-acting elements in the promoter regions. Growth regulating factors (GRFs) are plant-specific transcriptional factors. The , growth-regulating factor gene (,), when ectopically expressed in crops such as , (sugar beet) and , (canola), has an effect of accelerating shoot organogenesis and enhancing the efficiency of genetic transformation. However, an efficient plant regeneration and genetic transformation system in , L. ssp. ,, a major vegetable crop in China, remains to be established. In this work, we identified and characterized the , ortholog in ,, named as ,, from BRAD database. Molecular analysis of , gene and exploration of its protein interaction network were further conducted. Therefore, the promoter region of , was thoroughly examined to determine cis-acting elements of various kinds and quantities. It is expected to provide a foundation for regulation of ,, and a informative reference for the improvement of , transformation efficiency and molecular breeding. Keywords: , L. ssp. ,; ,; molecular characterization; promoter"
A novel toolbox of GATEWAY-compatible vectors for rapid functional gene analysis in soybean composite plants,"Joffrey,Alexandra,Melissa,Jessica,Ekkachai,Jackson,Thomas A,Steven A,Roger W,Thomas J,Joffrey,Alexandra,Melissa,Jessica,Ekkachai,Jackson,Thomas A,Steven A,Roger W,Thomas J,Joffrey,Alexandra,Melissa,Jessica,Ekkachai,Jackson,Thomas A,Steven A,Roger W,Thomas J","The generation of transgenic plants is essential for plant biology research to investigate plant physiology, pathogen interactions and gene function. However, producing stable transgenic plants for plants such as soybean is a laborious and time-consuming process, which can impede research progress. Composite plants consisting of wild-type shoots and transgenic roots are an alternative method for generating transgenic plant tissues that can facilitate functional analysis of genes-of-interest involved in root development or root-microbe interactions. In this report, we introduce a novel set of GATEWAY-compatible vectors that enable a wide range of molecular biology uses in roots of soybean composite plants. These vectors incorporate in-frame epitope fusions of green fluorescent protein, 3x-HA, or miniTurbo-ID, which can be easily fused to a gene-of-interest using the GATEWAY cloning system. Moreover, these vectors allow for the identification of transgenic roots using either mCherry fluorescence or the RUBY marker. We demonstrate the functionality of these vectors by expressing subcellular markers in soybean, providing evidence of their effectiveness in generating protein fusions in composite soybean plants. Furthermore, we show how these vectors can be used for gene function analysis by expressing the bacterial effector, AvrPphB in composite roots, enabling the identification of soybean targets via immunoprecipitation followed by mass spectrometry. Additionally, we demonstrate the successful expression of stable miniTurbo-ID fusion proteins in composite roots. Overall, this new set of vectors is a powerful tool that can be used to assess subcellular localization and perform gene function analyses in soybean roots without the need to generate stable transgenic plants."
Evolution and theft: loss of state transitions in Bryopsidales macroalgae and photosynthetic sea slugs,"Vesa,Axelle,Heta,Esa,Paulo,Sónia,Vesa,Axelle,Heta,Esa,Paulo,Sónia,Vesa,Axelle,Heta,Esa,Paulo,Sónia","Green macroalgae within the order Bryopsidales lack the fundamental photoprotective mechanisms of green algae, the xanthophyll cycle and energy-dependent dissipation of excess light. Here, by measuring chlorophyll fluorescence at 77K after specific light treatments, we show that Bryopsidales algae also lack state transitions, another ubiquitous photoprotection mechanism present in other green algae. Certain Sacoglossa sea slugs can feed on Ulvophyceae algae, including some Bryopsidales, and steal chloroplasts -kleptoplasts- that remain functional inside the animal cells for months without the support of the algal nucleus. Our data reveal that the state transition capacity is not retained in the kleptoplasts of the sea slugs, and we provide evidence that the loss is caused by structural changes during their incorporation by the animals. This enforced chloroplast sphericity was observed in all studied kleptoplastic associations, and we propose that it is a fundamental property supporting long-term retention of kleptoplasts in photosynthetic sea slugs."
